hand,S,H,D,C,HCP,opening
KH 9D AC AS 2H 2S 8D JS 9H AD QH KD JD,3,4,5,1,22,1C
8S 3S KS 7D 3H 4H JC TS QH 4D 2S JH JD,5,4,3,1,8,2C
2D TD 3C 5C 4H 5D 6H 7H JH 2H 9S AS 6D,2,5,4,2,5,PASS
9H KS 6H 6S 4S TC 3D 7D AH AD 8D TD AC,3,3,5,2,15,1NT
KS TS JC AH 3C 8D TD 3H 8H JD 5D 2C 7S,3,3,4,3,9,PASS
4D 8C 8S 7C 2D KH 9S 5C AH 4H QH 7D TC,2,4,3,4,9,PASS
3C KD 9D TH 2S 6H 2C 3D QD 6S KC 3H TC,2,3,4,4,8,PASS
4H 5H TH QC 9H 2D 8S KH 2C TS QH KC KD,2,6,2,3,13,1H
8S 5S JC 3S JD 2S 6S JS KH QS 5D AD 8H,7,2,3,1,12,1S
JD QS JH 2C 4D 6D QC 5S QH 6H AS TS 5D,4,3,4,2,12,1D
9H QS 6C 8S AS 5H 5D 2C 9C TS AD KH TH,4,4,2,3,13,1C
QH KS 2H 2S TC 8S 4D 2C 3C QS 6C 9D AH,4,3,2,4,11,PASS
3D 5D 6S 7C 7S AD 8D 7D 3H 2H 3C 3S 9S,4,2,5,2,4,PASS
JH 4H KH 7H 2D JS TC 8S 5S 4C QC 6C 3C,3,4,1,5,7,PASS
9C 4C QH KH 4D KS 5S KD 2C 6D 9H 7H QC,2,4,3,4,13,1C
8S AS 9D KS 8H KC 7H 6D JC 6H 6C 7D AH,3,4,3,3,15,1NT
3H 5D 9S QC 6D 8D 4S 8S KH 6H TC JC 3D,3,3,4,3,6,PASS
KS KH 2H 5S QH JD 2C 4S 8S TH 4C 7S 5C,5,4,1,3,9,2C
6D 9D AD KH 6C 7H QS 3H JS QD JH 4H 9S,3,5,4,1,13,1H
6H 9C KD 6D TS QC 2H KS AS TH 3C 7H 2C,3,4,2,4,12,1C
QS 7S 5D 2C QC 3D 4C 4D 9D 8H 7D 6C KS,3,1,5,4,7,PASS
TC 8C 3S AC KH 8D 9H 4C 2H 9S JC AH 3H,2,5,1,5,12,1H
TC JS 2S JC 2H 4S QC JH 9H KD 6D 5H JD,3,4,3,3,9,PASS
QH 6C KC AC 9H KD 9D 8H 6H 5C KH TD JD,0,5,4,4,16,1H
8H 8D QH 9H 6C 6H 6D AS 3C 4H 5H KH 5C,1,7,2,3,9,PASS
3H 8S 7S 4C QH 8H 5D QC 8C 9D 6S JS JD,4,3,3,3,6,PASS
QD KC 4D 6D KD 9H 2D JD JS 7S 2S AD TC,3,1,7,2,14,1D
TH 6D TD AS TC 4D 5D QS JS KC 8S 5C 8H,4,2,4,3,10,PASS
8H 6S AC JH 2D QH QS TC QD TS 3C 6H 4C,3,4,2,4,11,PASS
8C QS 8D AH JD KD 8H 6H 7H AC JC JH 4D,1,5,4,3,16,1H
QC 6D AH AS JH 7H 3H 2S QD AD 4S QS 9D,4,4,4,1,19,1C
QH TD TH KS TC AC 2D 5S 5H JC 4S 9H QS,4,4,2,3,12,1C
QD JH AD 8S 8C JC 6C 7D 8H 4D 4H KC 8D,1,3,5,4,11,1D
AC KS QS 2S TH 6C 6H KD QH KC TD 4D JD,3,3,4,3,18,1C
6D QD 6H 4D TH KD 2H 3H 5H 7H 3C 8D 8H,0,7,5,1,5,PASS
4D 5S KH 4H 8H 6C 9D AS 2C 5H JC KC 9S,3,4,2,4,11,PASS
9H TH 2D TS 5D JD 5C AC 3D QS 9S 7H 2S,4,3,4,2,7,PASS
9H 5C JD 3S JC 7C KD 5S QS 3H 8S 6H KS,5,3,2,3,10,PASS
9D 5C 7D QD 4D 4H 3D 7C 2H JD 2C TC 6D,0,2,7,4,3,PASS
7D AS JS AD 6H 7H 3D TC KD TS 3S 7C 5C,4,2,4,3,12,1D
4C 9H JH QS 6C JS 3D 8S TS 7C 3C 8H QD,4,3,2,4,6,PASS
AH KH 6C TH 9D 4S QS 2S 7S 6D 8S KS TS,7,3,2,1,12,1S
2H 3S QH 2S 9H 7H 9C AD 6H 9S JD AC JS,4,5,2,2,12,1H
4S 5H 8D 4H JD 2H 9S 5S JH TC TS QH AD,4,5,3,1,8,2C
JS 2S KD 4H JD 8H JH QD 9D 6H TD AC 8D,2,4,6,1,12,1D
5D QS 8C 5S JD 7S TD KH 3S 9D 8D AH 6H,4,3,5,1,10,PASS
KS QD 2S TC AH 3C 5S AD QC 6S 3D 7C AS,5,1,3,4,19,1C
6S 4H 7H 3S 3D KH JS QH 4S 9S AC 8S JD,6,4,2,1,11,1S
QS QD 5S TC 3H TD 3C 8H KC 6H JC 4H KS,3,4,2,4,11,PASS
3H AC 9C 6H JC 5D AH 6D 2S 4S TH TS QC,3,4,2,4,11,PASS
2D 4C 5D 7C QH KC JH 4H 2H 6H 6D 5C 3C,0,5,3,5,6,PASS
4S 5H QH TH QC QS AH 9D KC 9S 7H 3H 6H,3,7,1,2,13,1H
9H 5C JS 6C KD 5S 3D 7S 2S 2D 8H 7D JD,4,2,5,2,5,PASS
JD QC KH JC TD 9S KD AC TC AD KC 8D 6S,2,1,5,5,21,1C
8H 7C AS 7S 5H 8C 2D 5C AD 4C KS 7D JD,3,2,4,4,12,1D
QC 7H 9S 6H 2H TH 8C 2C 3S QD 2S KH 9D,3,5,2,3,7,PASS
2S 5C AS 9C KH QD 5D 5H 6D 3S 3H QS QH,4,4,3,2,13,1C
8D QH JH 6D JC AD 2C 2S AS KC 3D KH 8S,3,3,4,3,18,1C
QS 5H 9S KD 6S 9C 3D 6D 4S QH QD 7C TH,4,3,4,2,9,PASS
9S 2D TC 3H 9D 6C 4S JD QS AC QD 7C 8S,4,1,4,4,9,PASS
4C TH 4S 5H 7H 4H AD 6C 5D TD 7D 3S 8S,3,4,4,2,4,PASS
3S 5C 4D 9H KH KD KS 9D JC QD 3C 2C 5S,3,2,4,4,12,1D
4H QD 3S QS KC TD 9D KS TS 2H 9S 9H 7D,5,3,4,1,10,PASS
TH 7C 7D TS JS KS AH 8S 4S 3S AC 3D QS,7,2,2,2,14,1S
AC QS 2C JH KS 5D 8D 4H KC JS TH 7S AS,5,3,2,3,18,1C
7H KC KH 8C QS 3D 9S 4D 3S 8D AH 8H KD,3,4,4,2,15,1NT
4D 9D JS 5H 4S 8H QD AC 2D 3D 9S 4C 5C,3,2,5,3,7,PASS
JS 6D 9D AC 2C 5S 9C 7H 4H TH 4S KD 9S,4,3,3,3,8,PASS
TH 6S JC 8H JH KD 3C 8C TD TS 7S QD 4C,3,3,3,4,7,PASS
9C 5H 4D 6C AH 2S KH 5C 2D 2C QC TS JH,2,4,2,5,10,PASS
3S 5S TD QS 7H 7S 5H 4C 6H 8S TS QD TH,6,4,2,1,4,PASS
JC 4S AH 7D 3S KC 6C 9C 8S 8D TH TC AS,4,2,2,5,12,1C
5C TH 4D 5S JH 8H 9C KC 6H 6C 4C 2H 3D,1,5,2,5,4,PASS
KS 6D 2C 5C 3C AH TD 2S 3D 5H 3H AS KC,3,3,3,4,14,1C
QD QH KS 8D AS 6H 8S QS 3D 9C 4C 5S 9S,6,2,3,2,13,1S
3S 4D 6D JC JH 7H JD 7D 4S 2H 2S 3C 3H,3,4,4,2,3,PASS
QH KD 5H 2S 7D AC KH JH 2C 9H 6S 7S 5C,3,5,2,3,13,1H
2H KC 9S 9C JH 3C 8S 7C 8D KH KS 2S 6H,4,4,1,4,10,PASS
JS 6D KS 3S QC 7H TS 2H TH 3H 8D 4D 2S,5,4,3,1,6,2C
3D TD KH 6S QC 7H JH 7C 4S 2S 6C JC 5D,3,3,3,4,7,PASS
QD 4D 5C 7S AS 6H 3S 6C 5H 2S 8D 4S JC,5,2,3,3,7,PASS
AD 6C 2S JS QH 8C 4H 2D QC 7S 6S KD 3H,4,3,3,3,12,1C
8S 7C AS TC QD JD 5H 9H 6C TS TH 7D KC,3,3,3,4,10,PASS
JH 7C 9D TD AH 8D TS 5S JC 3H 2H 7H 8C,2,5,3,3,6,PASS
8D QD 7D 4S QC 8C 9C KC 6S KD AC 3H AS,3,1,4,5,18,1C
4D 3C JC 5S 7D QS QH 8H 5C JD 8S AC 2H,3,3,3,4,10,PASS
JC 9D 6C 2H JH QH JS 8H KD 8S KH 5H 4S,3,6,2,2,11,1H
KD 8S 7D AH 8H TC 8C 7C 5H TD JS AD TH,2,4,4,3,12,1D
2D 7S AC TS TD 9D 9C 9S 3S AS QC 5D QD,5,0,5,3,12,1S
KS 8S 6C AS 4H 6S JD 6D 5C TS 2S 3C 9S,7,1,2,3,8,PASS
KH QH 3H 4S TS 8S 7C 6S 9H AD JC 7H KS,5,5,1,2,13,1S
6C 8H 7C QS 7S JH 9D 6D QH 4C 4H JD 7D,2,4,4,3,6,PASS
4D 2D 5D TC 3S JD JS 8D AD QH 5H 9S 3H,3,3,6,1,8,PASS
7D 5S 8S JS 2S 8H 5D KH AD AH 9H KC 6S,5,4,3,1,15,1S
9H 4D KS 8S 8H AH 3D 9C KC 6S TS QD 2C,4,3,3,3,12,1C
7H AD 8D JH 6C QH 9S QD JD 8H TC JC 3H,1,5,4,3,11,1H
8S 2D 3S 7D 7S 9D JD KC KD TC TD 5S AC,4,0,6,3,11,1D
7C AD TD QS 6C 8S 7H TS 9S 2D 5H 3H KD,4,3,4,2,9,PASS
4C 6C AS 2H QC 7S 2S TH 6D 5D KS 2C AH,4,3,2,4,13,1C
6D 6S JS 8S 4H AS 8C QD JC 3D 5C TC 4D,4,1,4,4,8,PASS
9S 7D TS 5S AC AH 6H JH 9D JD 8C 8S 7S,5,3,3,2,10,PASS
JS 7S TS 3D 6C 2C 3H 3S QC KD KC 4H 8D,4,2,3,4,9,PASS
6H AC QS 3H JH AH 3D KH 3C TD 7S AD JS,3,5,3,2,19,1C
8D 2D AD 4H 2H 5D TH 6S JH TC QC AS JC,2,4,4,3,12,1D
4H 6S AH QD 3H 6D 2C 9H 8D 7S QH 8S 8H,3,6,3,1,8,2D
6S 5H 3C 3H 4H TD AC 4S JH AH KH 5C QS,3,6,1,3,14,1H
9S AD 5H QD 4D TD 8H TH QC QS 5C JC 9D,2,3,5,3,11,PASS
4D 3H 3D TH TS 9S 5S 8H 2D 7D QS AS 9D,5,3,5,0,6,PASS
6S 2H TH AH 5D QD 8S 3S 5C 8H 8C KC KD,3,4,3,3,12,1C
6S AS TS 6H 9C 2S 3S QH QD 7S 3D 6D 2D,6,2,4,1,8,2D
4H 5C AS 3C 4D QS 5D 6D TD KD 6S 2D 9C,3,1,6,3,9,PASS
2D 3H TD 5C 9D 5S 6C AD 2C 7C 9H 7H 7D,1,3,5,4,4,PASS
8D 5H JS 9C AD 6H 3S 4D 8H KC KH TD AS,3,4,4,2,15,1NT
8D 9H KC 9C 7D 5C 6S AC 2D 7H 6D 9D 7S,2,2,5,4,7,PASS
3D AH 7D QD 6H 2D 8C KS JC 2H TD 7S 8D,2,3,6,2,10,PASS
9C JH 4H 7S 4S 7D 5H 3C JD 8D 6H 8S 3D,3,4,4,2,2,PASS
9H AC 8D QS AH 4H KC TH 2H KD 8S 2D 8H,2,6,3,2,16,1H
QD AH 7H 5S 9S AD 2D 8H 3S 3C 7S TD 4S,5,3,4,1,10,PASS
TH 9H 8C 2C TD AC AS JH 6C 9C QD 9D QC,1,3,3,6,13,1C
9H 4H TH 7S QH 5S AS 6C KD 9C KS TD 6H,4,5,2,2,12,1H
2H QD 9S 5D 8S 2D AC 7C JD KC AD TC 6D,2,1,6,4,14,1D
4S 9H 7H 7S JD JH 5S 3C 2H 8H 4C 2C 6S,4,5,1,3,2,PASS
QC AS KC 3S 9C KH 7C TS AH AD 3H 5D 2D,3,3,3,4,20,1C
5H 6C JD 5S 9H TH 6S 4D 6H 3D 2D 3S 9D,3,4,5,1,1,PASS
2H 8S 6H 5D QC TD KC 2S 9S TH 6C QS 3H,4,4,2,3,7,PASS
6D TC KS 9C 7S 5D 4D 9H 4S 2S 6H 7C AD,4,2,4,3,7,PASS
KH 9H KD 3H 3S AD 2D 2S QS 4D KS 7H 6D,4,4,5,0,15,1D
KC AH AS JC 7C 2C 9C QH 9S 4D KD 8C 8D,2,2,3,6,17,1C
AD 5H 3H 6S 2S KH TS 5D 7H 2H 2C TH 4D,3,6,3,1,7,2D
2S 4S 3H TC 7S AC QH KD 7C KS 3D QC 5H,4,3,2,4,14,1C
4C 6S JC 3S AH TH 5H 4S 8D AC 2C QH 4H,3,5,1,4,11,1H
5H AC JD 8D KC KH AH TD KS QH JC QC 5D,1,4,4,4,23,1C
9D JD QS JS JH 5S 8S 5H 2D TS TH 4C AC,5,3,3,2,9,PASS
9C 4S 7D 2C 8H 3C 3S 4D 6C 8S JH 4C 7C,3,2,2,6,1,PASS
KS KH 7H 7C AD 9H 8H 9D 2S 6D 3D 4H 5S,3,5,4,1,10,PASS
9S 4S 6D QS KS 3H AC TS 5S JD 9C 2S 2C,7,1,2,3,10,1S
9C 4S QS TS KD 9S 5D 7S 5H TH 2D TD 9H,5,3,4,1,5,PASS
2H 8S JC 4C 2C QD 3H 4D 5S AC 9C TD 6C,2,2,3,6,7,PASS
4S 7S 3C QS 8C 9H TS 8S 2C JH 9D TD 5H,5,3,2,3,3,PASS
TC KS 8H 8S 3C 4H 7H 6H KC 5H QH 5S 9S,4,6,0,3,8,2C
7D 4S 9C 8S KC JD AH 8C TS 9S 5C TH QS,5,2,2,4,10,PASS
JD KC JS AC 2C 7S JC KH 5C 6D TH 6C 4C,2,2,2,7,13,1C
5D 6D 9S 7C 4D AH TD 8D 4H 7D KS JS KC,3,2,6,2,11,1D
KD 5C JC 4H 8D QD TD 7H 2D 7D 7S 9D AD,1,2,8,2,10,1D
3D 2S 9C 6S 5H 3C 4H JH JD 9H KD QC 7D,2,4,4,3,7,PASS
TD JD 5S 5C 5D 9S 7D AH 5H 7S KC KS AD,4,2,5,2,15,1D
TS 3H QH AS KS 8D 5C 4C QD JC QC AH 7D,3,3,3,4,18,1C
6H 5S KD QD 7H 8D 6C 8S KH 4C QS KC 6S,4,3,3,3,13,1C
6S 9S 7S AD JC 8C 3C 2C 3D JS JH 2H 2D,4,2,3,4,7,PASS
9C 4S 4H JH AD QH 5H 8H 9S 5D 6D 4D 6S,3,5,4,1,7,PASS
5H 3S 4S 9H JH 4H AC 2S 7C AS QC TH JC,4,5,0,4,12,1H
JC QH 3H 5D AD KH TS 2S 3S JS 2C 7S QS,6,3,2,2,13,1S
7C 4C 6H 6C 2H AC KS JD 8H JS 2D 3D 8C,2,3,3,5,9,PASS
7C 7H 8H KC KH AS 5C 6D AC TC 8C 6S AD,2,3,2,6,18,1C
4D 2D JS 7C 2H 3H JD QH 2S TC 3C 6C JC,2,3,3,5,5,PASS
3S 8H JD QS 7H 6S 2D 8D 9H QH 4C KC TH,3,5,3,2,8,PASS
QC 8H 9C 7S TS KH 6D 4H AH 2D 3H 9D 8D,2,5,4,2,9,PASS
7D 3D TS JH 8D QS 2H QC 7S 3C 9C QD JD,3,2,5,3,8,PASS
6H KD AH 3S 3D AC 3C 6D 4C 4S QD KH 5H,2,4,4,3,16,1NT
AS AC 5H 3S 2C TS AD 4S JS JC QH KS KC,6,2,1,4,22,1C
8S 6S 8H 7H 2C 4H 6C 8D 2S JC 4C 3S 9C,4,3,1,5,1,PASS
TH 3D 5S 4C QS 7S 2S TD AH AD 6C 7D AC,4,2,4,3,14,1D
QC JH 7C 2C AC 3C KS 3S 7H JD 8H 9C 6S,3,3,1,6,11,1C
3C 6S 4D 3D JH 8C 4C QS QH TH 4H 7D 9D,2,4,4,3,5,PASS
3D 4S 6D TC 3H 2S JS AH 5D QC TS 7H 7S,5,3,3,2,7,PASS
AC JS 3H 7H KS 7C 4H 3S KD 4D 9D QD KC,3,3,4,3,16,1NT
6D 8C TS 8S 3H 6S 7S 6C 9C 5S AH 3D QH,5,3,2,3,6,PASS
JD 4D 2D 9C 8H 4H 8D JS 4C 9H 5C QD 2H,1,4,5,3,4,PASS
9C 8S TH TC 3D KH 4S 4C 5H 7S KC 2S 8H,4,4,1,4,6,PASS
7H 2S 6S 9D 2D AD 9C 5S TD JC 8D 9H 5C,3,2,5,3,5,PASS
AC KC 5C 5D 6C 2S 8H 7H TD 3S 4S TS 6H,4,3,2,4,7,PASS
KC 2H 5S AS 4C 3H 6S AC 7D QD 9C 8C 4S,4,2,2,5,13,1C
8H 4C TC 6S 6H JH 9C 3H 4D QD 3S KH 5H,2,6,2,3,6,2D
4C 8H 2D 8C AH 7D 9C 5D 6C 4D QC JS JD,1,2,5,5,8,PASS
KS 2H AD KD 3D KH 7S TD 6C 2S 4S JH 9H,4,4,4,1,14,1D
3C 4S 3H 7H TH QS JD JC 4D 6H 4C 6D 4H,2,5,3,3,4,PASS
2S 7C JD 3H 6D 2D TS 9C 8H 7H KD JC 2C,2,3,4,4,5,PASS
QC 2C 7S KH 8C JD 9S 3H 3C 8D 7D JC AH,2,3,3,5,11,PASS
4D 3S TH QS TD 9D 2C 7D 8D AH AS 3H 2H,3,4,5,1,10,PASS
6D TC 8C 5S KH QC 3D TS AS QS KC 2H 9C,4,2,2,5,14,1C
2H 2C 7C 4H 5C JH 3S KD 3H 9S 7H AD 7D,2,5,3,3,8,PASS
KH QS 6S TH TS 7H JD TC 5C 3S 6D 8S AC,5,3,2,3,10,PASS
QD 8S KD 6C 6H 8D KS 4C TD 4S 9S AH 5C,4,2,4,3,12,1D
2C QS 9D QH 3D AH KD 2H 7D 7S JS QC 2D,3,3,5,2,14,1D
6D 7C JD 3S 8H KD 2H 4C 5S 3C 6C 8D JH,2,3,4,4,5,PASS
5C 6S 4S 7H 3C AH 9S QH 2D KD AD TC JH,3,4,3,3,14,1C
5H 7H AH 5C QH 6C KD 3H 9C 3C KH KC 6D,0,6,2,5,15,1H
5H 5D JD TD 3D 6D 3H JH 9S AS 8C KH 5C,2,4,5,2,9,PASS
7D KC AC QD 8C KS 6C 4D 7H QS JC 5C 4C,2,1,3,7,15,1C
JD 3C 9C KH 2C 4C 3D AH TS TD 5H 9S 6D,2,3,4,4,8,PASS
5D 7H TH 4H 3H 2C 4S 5H 2H KS JC AC 9S,3,6,1,3,8,2D
5H TS 3D 3S 6S 4C JS AH 2S QD 8S 5C QS,7,2,2,2,9,PASS
9C 7S 4D 7D TD AH 8S 5C 8D 6H 2S AD 4H,3,3,5,2,8,PASS
7H 6S 5C AS TH 8D QD 4D KH TD 8H QH 5D,2,5,5,1,11,1H
3D TC 2S 4S JH AD 2D 7C 8D 2H TH 4C AH,2,4,4,3,9,PASS
KS JS AH QD 3S AS KC TS 4D 4C 4S 2S 7H,7,2,2,2,17,1S
QD 3D JH 4H 7S 4C QH 5C QC KD 7C 8C TD,1,3,4,5,10,PASS
6H 2H QH AD 4S AS 4D KD 9S 9D KC 5D 5S,4,3,5,1,16,1D
AH 8S 4S 3C 5C TD AS 8H QD 5H 3S TH 3D,4,4,3,2,10,PASS
4D 6C AH QS 6H 8D 3S AS 4H 8C TD KD 3H,3,4,4,2,13,1D
4D JS 5H 5D QC 6H KD TC 9C 3C 2D 6C 8D,1,2,5,5,6,PASS
AS 8C AD 7C AC 2S JH QS KC QC 6D 8D 5H,3,2,3,5,20,1C
8H 6D 9D QD AD 4H 2C 5C 2D 6H 7C KS 2H,1,4,5,3,9,PASS
TD 2S 4S AH 7C QS KH 5C 9C 7S 3S TS TC,6,2,1,4,9,2D
TC AD 7S 7H 7C 4C 3H JD KC KS QC 5S 2C,3,2,2,6,13,1C
KS KC 8D 4H 7S JS 9S 5C 8C QS 6H 2C 5H,5,3,1,4,9,PASS
5H 7S KS 2C 3C KH 6D 5D 7C TD 9S JD KC,3,2,4,4,10,PASS
6S 8H 9H 7S 9S AH 4D 4S 6H TD 5S 5C QD,5,4,3,1,6,2C
KH 9S 7C 2S QS 8D AS 4S TC 6H 5C 2H 3C,5,3,1,4,9,PASS
JS 5S QC 6H 3D 2C JH 2S 8H 4H 6S QD 3H,4,5,2,2,6,2C
5D KC TC 5S 3D 8S TS 4D 7S 8H AH 6D QS,5,2,4,2,9,PASS
AH TD JC 4D QH TC 4S QD 7H JH 8H 5D KD,1,5,5,2,13,1H
KC JS 8S 5S KS AC TS JC 4H 8D TH 7D 2H,5,3,2,3,12,1S
2S 9S 9C 5S QC 2D TC 7H 8D 4C KC 5H JH,3,3,2,5,6,PASS
TD 8C KC 2D 7D 5H 6C QC 6D TS 4D 9S JC,2,1,5,5,6,PASS
TH KS 6S 3S JH 4H 2S 7D 2H 5D AS 2D QD,5,4,4,0,10,2C
7H 9C 6D 7D 4H 8S JC 6H TS TC 3H AH 5C,2,5,2,4,5,PASS
TS 4S 2C 7D 5S 4H 3D 7S 5H AS JS JH QD,6,3,3,1,8,2D
KS 5S 3D 9S TH 4D 3H JC QH 7D 2C 7S AC,4,3,3,3,10,PASS
KC 2C 9S 3C JH 9C 3S 8D 2H JS 4S 8H 6H,4,4,1,4,5,PASS
6D AS KD 9H 7S TS AC 4H JD 6S 7C 8H 7D,4,3,4,2,12,1D
6S AC AH 7D 9C 2D AS 7S 9S 7H 5C 3C TC,4,2,2,5,12,1C
QS 2D 4S 2C AD 2S 7S KH 9H AC 9C 3D 3H,4,3,3,3,13,1C
8H 4C AD KH KD 3C TD QH TS 6H 2D 2H QC,1,5,4,3,14,1H
8S AD KC KD JD 7D 2S 8H 2D 5S KS 9D 3C,4,1,6,2,14,1D
QD 2C 8D JH QC 7C 9S 6H KH JC KD 4D QS,2,3,4,4,14,1D
TD JD 5C 4C 2C 2D QC 2S 6S QD AD 7D 9C,2,0,6,5,9,1D
AD 9C 6S QH 7C 8H TD JC 2S 3C 6D 7D 7S,3,2,4,4,7,PASS
5C 3D 4D JH 6H JC 4H JS 5H 9D QD 8S TC,2,4,4,3,5,PASS
6H AH 5S 6D 9S 8C TD 8H JS AC 9H JH 8D,3,5,3,2,10,PASS
4H 4D 8H 3C AH 8D 6D 2D AC 8S QH 9S KS,3,4,4,2,13,1D
9D 2S 9S JS AD 7H 5H 7S QC 6S TC 5D 3H,5,3,3,2,7,PASS
6D TS 4S 9C TD 5H 6C 9S 4D AS 2C 8H 7C,4,2,3,4,4,PASS
JS 8S TD 4C 7D 8C 5S 3C 3D AC 5C 6S 9D,4,0,4,5,5,PASS
AD 7C 5H 4C 2S 3S 4D TD 9C JD TC 8S AS,4,1,4,4,9,PASS
4C 4H JC 5S QS JD 3S 6S KS 2H 5C AC 9H,5,3,1,4,11,1S
4C AS 9S 8H 4D 5D 3C 2D 8C KH TS QD 8D,3,2,5,3,9,PASS
6S AH 4H 9C AC 9D JC 7D TC 5D TH 2H JH,1,5,3,4,10,PASS
9S 4S TC 7D 4C 2S QC QS KH 8S JC 2C 2D,5,1,2,5,8,PASS
QH 3C KD 6C AD QD KS 6S 2H TH 4H JD AS,3,4,4,2,19,1C
4S 8C 5D 4H 7H AH 9C 5S TS KH 3C 6H 6S,4,5,1,3,7,2C
9D 6D 2D TH 4H 3C 4D 5S 6C JD QS QH 7S,3,3,5,2,5,PASS
9C TD 9H KS KC 6H 5H 7S 7D 4C 8S JH 3C,3,4,2,4,7,PASS
6S 6D QH QS TD 4H 3S 2H TC JS 7H QC AD,4,4,3,2,11,PASS
7C JD 5H AD TS 6D 5C JS 3H AS 7D 2C 5D,3,2,5,3,10,PASS
TH AC 6C 4D QH QS 7S KS 9S 4H 3H 4S 6D,5,4,2,2,11,1S
3S 5D 7C AS 8D 3D 5C 2S KH 6D 8S QH 4D,4,2,5,2,9,PASS
8S 9D 2S 9H 3D 7H QD 2D JH 8D KS 7C AD,3,3,6,1,10,PASS
KS 4S 2S QS 5D 8H 2H TD 6H JH AC KH 9D,4,5,3,1,13,1H
6C 5D 3C 2C 2D 9C JC JH AD TH KC 9S 6D,1,2,4,6,9,PASS
AD 3D 6H 3C 9C QH 5C 4H 2C JD 7H KD 5S,1,4,4,4,10,PASS
QD 8H KH 7H TS TH 9H 8C 3C 7D 5D JH AC,1,6,3,3,10,2D
7D 5D QH JC TD 8H 8D 8S JS TS 2D 9C 2C,3,2,5,3,4,PASS
TH 8C 7H JD 3H 6S TC AH 3S 2H 9D QC KD,2,5,3,3,10,PASS
3C 9H 6S QH 6C 4D TS 9C 4C 5H 5D QD AH,2,4,3,4,8,PASS
AH QC TS KS 3C 6C AD 3H 3D 8S 3S QD 5H,4,3,3,3,15,1NT
KH 2D TH QD 7S 2C QC 3S 9C TC 7C 9S 7D,3,2,3,5,7,PASS
AH TH 4H QD KH QC 9D 6S 2D 9C JC 9S 6C,2,4,3,4,12,1C
5C 2D 9D 7C 6S 8H AD 4H 2C JC TH 4D TS,2,3,4,4,5,PASS
5D 2D 5S 6H 6S AS AC JH TS QH 4H 5C 4S,5,4,2,2,11,1S
3D TH 8H 9S KC JS JH 8S 2D 6D KD JD 8C,3,3,5,2,9,PASS
3H 5H JC 5C 5D 2C 4D 9H 3C 8S 9C QS QC,2,3,2,6,5,PASS
5S KC JC JD 5H 3H 3C 8S JH TC AC 9S AH,3,4,1,5,14,1C
4C QD 9H 3H TC 9S 2C 5C 8D QS 2S KC 2D,3,2,3,5,7,PASS
7H 5C TH KD AS AH 6H KH 4S 4H 8D 9S QH,3,7,2,1,16,1H
2D TS 8H 4H 4S 3D QC AH 6S 5C AS 7C 9H,4,4,2,3,10,PASS
7S 6H 2H JC 6C 9C TD 4S 5D QS TC AS QD,4,2,3,4,9,PASS
5D AH QD 6H 2S KS 4S AS 4C JS 8C TD 8H,5,3,3,2,14,1S
5D 8H 7S 9S TD QC 4H AS 4D 8S JS 6D TH,5,3,4,1,7,PASS
9S 7S 3S 8S 9C 4C 5H AH 4H QS 7H 8D 7C,5,4,1,3,6,2C
2H 4H 6C 4S QH TD 5H KH 7C 7S 2C 3S 3D,3,5,2,3,5,PASS
JC 7C 2D 5H 8H TD QC 9H 4S JH 3S 6C 7S,3,4,2,4,4,PASS
4D QH 6C 3C 5C TH 9D 7D 5D 6D KD TD JH,0,3,7,3,6,PASS
KC 9S KS 8S TD 6D 6H 7S TH KD 5H TS 3D,5,3,4,1,9,PASS
4D 2C 6S 8H 3C 9S 3S 5S 4H JS 5D AH 2S,6,3,2,2,5,PASS
KC 3C 6C 6S 7S AH AD 7H KD 2D 3H 9S 7C,3,3,3,4,14,1C
TS 4C KH KS TD 9C QC JD 8H 9H 7C 6C 2S,3,3,2,5,9,PASS
9H 8H QD JH 9S 6S KS 2D AS 3C 9C 5S KD,5,3,3,2,13,1S
6D JC AS 2S 9S QS TS 5D 9D AD 5S 5C 2C,6,0,4,3,11,1S
6D 8H QD 9H KD 4S 8D AD 8S JC 9D QH 5S,3,3,6,1,12,1D
3C KC 3S 4H 7S JC KD 5C KH 2C QS 7C 7H,3,3,1,6,12,1C
6S 2H 4S 6C QH TH 6D KC JD QD 4H QS 6H,3,5,3,2,10,PASS
JS 3S 7S 5C 3C JH 8H 8D 2D 4H QC 3H 6H,3,5,2,3,4,PASS
AH JS 7S 3S 9S 8D AS JD 7H TH 2D 2C JC,5,3,3,2,11,PASS
QS AC 8C 9D 9S JH QD TC 8H TD 2S 7S 6S,5,2,3,3,9,PASS
7D 8C 6D 9H JS 9C KS 3C 3S 2H AH 8S 5D,4,3,3,3,8,PASS
KS 5D 9S TD 6C 3D KD 9D 2D TH QD 3H 7S,3,2,7,1,8,PASS
7C 6C TD TH KH TS 4C 5H KD 3D 8D 4S AD,2,3,5,3,10,PASS
KC AD 6C KH 7C 5D 8S 3C 2C 4D 8H QC JD,1,2,4,6,13,1D
JD 3C TH 6C 6D 3S 2C 5H 7H 9S AD QH 5S,3,4,3,3,7,PASS
JH 2D 8S AS AD KD AC 4S QC 8H 3D 9H 4C,3,3,4,3,18,1C
2S AC 9S QC TC 9C QD 2D 6H 4H TS 7S 3H,4,3,2,4,8,PASS
